scenario,finesse,tau0,vacuum_wavelength_nm,refractive_index,medium_wavelength_nm,w0_experimental_min_um,w0_comfortable_min_um,N,m,k_star,lr_star,L_mm,zR_mm,w0_um,w_curved_um,g2,lr_edge_margin,hemispherical_gap_mm,delta,tau_eff,tau_margin,rho,peak_headroom_ratio,platform_height_margin,platform_exists,platform_width_k,platform_width_lr,platform_width_L_mm,pairwise_er_db,conservative_er_db,w0_band,geometry_warning,geometry_warning_reasons,geometry_screen_status,geometry_pass,geometry_fail_reasons,quality_pass,quality_fail_reasons,final_engineering_pass,rho_design,finesse_ceiling,peak_headroom_ratio_formula,platform_height_margin_formula,rho_is_boundary,scenario_family
CURRENT_PLATFORM,15.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,5,1,0.200000000000,0.345491502813,8.637287570,11.888206454,45.496559,56.236840,0.654508497187,0.345491502813,16.362712430,0.200000000000,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.684683,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,15,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
CURRENT_PLATFORM,15.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,5,2,0.400000000000,0.904508497187,22.612712430,7.347315654,35.767183,115.745034,0.095491502813,0.095491502813,2.387287570,0.200000000000,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.684683,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,15,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
CURRENT_PLATFORM,18.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,6,1,0.166666666667,0.250000000000,6.250000000,10.825317547,43.415090,50.131428,0.750000000000,0.250000000000,18.750000000,0.166666666667,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.492063,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,18,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
CURRENT_PLATFORM,21.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,7,1,0.142857142857,0.188255099071,4.706377477,9.772893531,41.250761,45.784891,0.811744900929,0.188255099071,20.293622523,0.142857142857,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.307624,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,21,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
CURRENT_PLATFORM,21.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,7,2,0.285714285714,0.611260466978,15.281511674,12.186598902,46.063999,73.880919,0.388739533022,0.388739533022,9.718488326,0.142857142857,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.307624,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,21,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
CURRENT_PLATFORM,21.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,7,3,0.428571428571,0.950484433951,23.762110849,5.423546739,30.729966,138.099213,0.049515566049,0.049515566049,1.237889151,0.142857142857,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.307624,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,21,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
CURRENT_PLATFORM,24.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,8,1,0.125000000000,0.146446609407,3.661165235,8.838834765,39.229962,42.462205,0.853553390593,0.146446609407,21.338834765,0.125000000000,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.207085,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,24,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
CURRENT_PLATFORM,24.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,8,3,0.375000000000,0.853553390593,21.338834765,8.838834765,39.229962,102.512832,0.146446609407,0.146446609407,3.661165235,0.125000000000,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.207085,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,24,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
CURRENT_PLATFORM,27.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,9,1,0.111111111111,0.116977778441,2.924444461,8.034845121,37.403233,39.803689,0.883022221559,0.116977778441,22.075555539,0.111111111111,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.108821,high_risk,no,w0_high_risk,hard_fail,no,short_cavity,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,27,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
CURRENT_PLATFORM,27.000000000000,3.000000000000,795.000000,1.453371000000,547.004172,47.000000,50.000000,9,2,0.222222222222,0.413175911167,10.329397779,12.310096913,46.296815,60.436200,0.586824088833,0.413175911167,14.670602221,0.111111111111,3.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,no,0.000000000000,0.000000000000,0.000000000,15.682017,11.108821,high_risk,yes,w0_high_risk,warning,yes,pass,no,below_tau_threshold;platform_too_narrow,no,1.000000000000,27,0.000000000000,0.000000000000,yes,CURRENT_PLATFORM
